epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.629,0.50094,0.77935,1.15842,0.98445,0.99785,0.99467,0.83132,0.62024,0.53132,1.10659,0.000554986,0.000554986,0.000554986
2,403.801,0.45602,0.4287,1.10958,0.99041,0.99772,0.99346,0.92129,0.39431,0.33666,0.78377,0.00105568,0.00105568,0.00105568
3,616.088,0.42931,0.36937,1.09003,0.99699,0.99839,0.99497,0.85936,0.53719,0.43396,0.96218,0.00150135,0.00150135,0.00150135
4,879.993,0.40286,0.34254,1.07677,0.9976,1,0.99499,0.94525,0.31794,0.26398,0.73054,0.00141945,0.00141945,0.00141945
5,1152.13,0.37232,0.31208,1.06209,0.99922,0.99893,0.99493,0.94086,0.3348,0.27226,0.72669,0.00133693,0.00133693,0.00133693
6,4755.99,0.34887,0.28894,1.046,0.99834,1,0.995,0.96161,0.33023,0.24585,0.70515,0.00125442,0.00125442,0.00125442
7,4829.18,0.33142,0.27412,1.03818,0.99786,0.99903,0.995,0.98326,0.23788,0.21882,0.64348,0.0011719,0.0011719,0.0011719
8,4898.41,0.32896,0.26771,1.0366,0.99958,0.99946,0.995,0.97412,0.28727,0.26794,0.67738,0.00108938,0.00108938,0.00108938
9,4967,0.3167,0.2546,1.03257,0.99978,1,0.995,0.98172,0.24035,0.22218,0.64009,0.00100687,0.00100687,0.00100687
10,5035.1,0.31095,0.24658,1.02965,0.99957,0.99946,0.995,0.98677,0.22996,0.2146,0.62508,0.000924352,0.000924352,0.000924352
11,5124.32,0.10286,0.1157,0.91184,0.99997,1,0.995,0.99411,0.14515,0.16746,0.52963,0.000841835,0.000841835,0.000841835
12,5199.45,0.08192,0.09115,0.89862,0.99977,1,0.995,0.99472,0.15327,0.16316,0.54153,0.000759318,0.000759318,0.000759318
13,5273.83,0.07104,0.08154,0.90128,0.99997,1,0.995,0.9949,0.13493,0.18631,0.52385,0.000676802,0.000676802,0.000676802
14,5347.31,0.06603,0.07808,0.8941,0.99989,1,0.995,0.99472,0.12421,0.13765,0.51822,0.000594286,0.000594286,0.000594286
15,5421.97,0.06112,0.07285,0.89282,0.99997,1,0.995,0.99491,0.12747,0.15682,0.51919,0.000511769,0.000511769,0.000511769
16,5493.51,0.05505,0.0651,0.8927,0.99994,1,0.995,0.99492,0.11526,0.16203,0.51359,0.000429253,0.000429253,0.000429253
17,5565.48,0.05097,0.06242,0.89102,0.99964,1,0.995,0.99499,0.12161,0.15425,0.51759,0.000346736,0.000346736,0.000346736
18,5637.1,0.04633,0.05785,0.88946,0.99997,1,0.995,0.99496,0.10896,0.14777,0.49813,0.00026422,0.00026422,0.00026422
19,5707.77,0.04156,0.05229,0.88673,0.99997,1,0.995,0.99498,0.12085,0.14387,0.51013,0.000181703,0.000181703,0.000181703
20,5778.8,0.03961,0.0503,0.88473,0.99997,1,0.995,0.995,0.09191,0.12751,0.48744,9.91865e-05,9.91865e-05,9.91865e-05
