epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.66396,1.9368,3.84706,1.72752,0.00369,0.58491,0.11403,0.06465,1.54445,3.55963,1.45839,0.000272,0.000272,0.000272
2,12.1131,1.74023,3.23561,1.58703,0.12706,0.29501,0.16606,0.08215,1.65563,2.81124,1.57117,0.000522458,0.000522458,0.000522458
3,15.9067,1.81243,2.89555,1.60678,0.22883,0.38795,0.24341,0.12668,1.86748,3.55271,1.79004,0.000745427,0.000745427,0.000745427
4,19.4563,1.7913,2.73135,1.58902,0.406,0.285,0.26586,0.16221,1.77659,3.63182,1.71147,0.000709299,0.000709299,0.000709299
5,23.3138,1.71638,2.5577,1.55543,0.4573,0.3294,0.31597,0.17692,1.70224,3.10585,1.60868,0.000668066,0.000668066,0.000668066
6,26.7798,1.71223,2.43169,1.55816,0.31461,0.40819,0.33725,0.18015,1.7267,2.40565,1.616,0.000626832,0.000626832,0.000626832
7,30.2017,1.66493,2.30714,1.52926,0.32454,0.48134,0.3795,0.20419,1.7129,2.35003,1.6425,0.000585599,0.000585599,0.000585599
8,33.7821,1.66545,2.24792,1.53787,0.50671,0.38385,0.37761,0.21503,1.67791,2.24886,1.61272,0.000544365,0.000544365,0.000544365
9,38.5783,1.65119,2.28605,1.54938,0.37992,0.4965,0.40549,0.21799,1.7443,2.21457,1.66884,0.000503132,0.000503132,0.000503132
10,43.6108,1.61512,2.14785,1.49285,0.54706,0.40466,0.40053,0.24437,1.57141,2.14279,1.51247,0.000461898,0.000461898,0.000461898
11,66.1119,1.53455,2.19873,1.46363,0.43817,0.40318,0.42861,0.25454,1.51975,2.1152,1.50873,0.000420665,0.000420665,0.000420665
12,69.85,1.47153,2.10033,1.43471,0.48719,0.41523,0.4621,0.28811,1.50059,1.9585,1.45442,0.000379431,0.000379431,0.000379431
13,73.3639,1.48735,1.95748,1.43531,0.51381,0.46151,0.47367,0.28232,1.52193,1.91531,1.48538,0.000338198,0.000338198,0.000338198
14,76.9387,1.4514,1.92061,1.41346,0.59488,0.50092,0.46637,0.2853,1.48919,1.83809,1.45455,0.000296964,0.000296964,0.000296964
15,80.4066,1.38816,1.91783,1.37697,0.60322,0.5482,0.51981,0.32239,1.49769,1.7879,1.43658,0.000255731,0.000255731,0.000255731
16,83.9959,1.41146,1.77771,1.36268,0.68711,0.48085,0.55484,0.34248,1.51333,1.7458,1.42938,0.000214497,0.000214497,0.000214497
17,87.4616,1.40649,1.69253,1.34792,0.67865,0.52131,0.57718,0.3635,1.49006,1.64807,1.39163,0.000173264,0.000173264,0.000173264
18,90.9437,1.36502,1.67422,1.31098,0.5308,0.57154,0.56696,0.35697,1.47254,1.68203,1.38166,0.000132031,0.000132031,0.000132031
19,94.4247,1.36529,1.64414,1.31847,0.61881,0.55997,0.57439,0.36647,1.4712,1.6359,1.37739,9.0797e-05,9.0797e-05,9.0797e-05
20,97.8858,1.31178,1.57416,1.28467,0.6983,0.5249,0.57521,0.36716,1.46129,1.62477,1.3696,4.95635e-05,4.95635e-05,4.95635e-05
