epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.69,1.54864,3.19973,1.95722,0.29085,0.33482,0.31213,0.18021,1.75452,2.56247,2.13458,0.00332645,0.00332645,0.00332645
2,390.945,1.35456,2.0706,1.72332,0.50411,0.3537,0.42254,0.23578,1.89136,2.37826,2.24868,0.0066378,0.0066378,0.0066378
3,594.401,1.40589,1.97986,1.76613,0.33232,0.4188,0.36831,0.1939,1.8222,2.3808,2.23035,0.00992716,0.00992716,0.00992716
4,803.336,1.46001,2.03333,1.80201,0.40453,0.33371,0.3412,0.16793,1.88997,2.69741,2.30071,0.009901,0.009901,0.009901
5,994.586,1.4285,1.94844,1.78611,0.39286,0.38895,0.34446,0.17573,1.91245,2.72591,2.34897,0.009868,0.009868,0.009868
6,1202.78,1.42698,1.90351,1.78064,0.41953,0.46696,0.42813,0.22575,1.96859,2.2235,2.28991,0.009835,0.009835,0.009835
7,1410.07,1.37521,1.76192,1.73057,0.72343,0.39777,0.48028,0.25744,1.81284,2.19929,2.18736,0.009802,0.009802,0.009802
8,1618.62,1.35348,1.67683,1.71402,0.6757,0.40885,0.47033,0.26571,1.80989,2.01636,2.15913,0.009769,0.009769,0.009769
9,1822.88,1.32543,1.58896,1.69081,0.62891,0.45976,0.52355,0.29063,1.79788,1.98513,2.2032,0.009736,0.009736,0.009736
10,2009.26,1.3079,1.50926,1.66635,0.63082,0.52069,0.58443,0.33977,1.75158,1.82908,2.08692,0.009703,0.009703,0.009703
11,2195.25,1.29757,1.45083,1.64547,0.71425,0.55086,0.61007,0.34211,1.7313,1.68556,2.06894,0.00967,0.00967,0.00967
12,2381.43,1.24261,1.36451,1.60635,0.69696,0.53085,0.58999,0.34415,1.71045,1.77956,2.05773,0.009637,0.009637,0.009637
13,2567.47,1.24564,1.35327,1.6086,0.56333,0.56604,0.5553,0.32384,1.80038,1.84125,2.10999,0.009604,0.009604,0.009604
14,2753.51,1.25846,1.34403,1.60562,0.68834,0.52892,0.57825,0.34667,1.73898,1.65937,2.05856,0.009571,0.009571,0.009571
15,2939.13,1.20946,1.27295,1.58068,0.73128,0.51617,0.60981,0.37695,1.72766,1.69586,2.04291,0.009538,0.009538,0.009538
16,3124.76,1.18979,1.21688,1.56503,0.72815,0.61636,0.65575,0.36368,1.76507,1.64491,2.11847,0.009505,0.009505,0.009505
17,3310.52,1.17499,1.16454,1.54577,0.80514,0.55195,0.59821,0.34194,1.75163,1.7281,2.0895,0.009472,0.009472,0.009472
18,3496.42,1.15954,1.15614,1.54457,0.85693,0.50666,0.62354,0.38099,1.66261,1.64517,1.99322,0.009439,0.009439,0.009439
19,3682.54,1.15927,1.13339,1.53086,0.78287,0.61405,0.66272,0.37006,1.75873,1.61991,2.07052,0.009406,0.009406,0.009406
20,3867.93,1.1228,1.09691,1.51361,0.73168,0.54191,0.60127,0.34961,1.68504,1.76759,2.05322,0.009373,0.009373,0.009373
21,4053.82,1.13516,1.05807,1.50699,0.69553,0.5953,0.6273,0.37838,1.68752,1.67688,2.00197,0.00934,0.00934,0.00934
22,4239.21,1.11663,1.03951,1.49095,0.74138,0.56066,0.64069,0.38824,1.69599,1.55014,2.01046,0.009307,0.009307,0.009307
23,4425.18,1.11659,1.03377,1.48764,0.82605,0.55931,0.6547,0.38333,1.69735,1.52369,2.0256,0.009274,0.009274,0.009274
24,4610.91,1.07958,1.00199,1.4763,0.72321,0.6248,0.65332,0.39387,1.65653,1.60478,2.01161,0.009241,0.009241,0.009241
25,4797.68,1.09275,0.99426,1.46641,0.80308,0.60163,0.65093,0.39384,1.64691,1.54508,1.99683,0.009208,0.009208,0.009208
26,4983.67,1.07179,0.96137,1.46441,0.72833,0.6203,0.65403,0.40372,1.64066,1.57091,1.98433,0.009175,0.009175,0.009175
27,5166.99,1.05474,0.93049,1.43945,0.74878,0.57871,0.63411,0.38984,1.71709,1.65724,2.08432,0.009142,0.009142,0.009142
28,5357.05,1.03737,0.92059,1.43428,0.77657,0.56511,0.62739,0.38574,1.69169,1.5863,2.07435,0.009109,0.009109,0.009109
29,5542.51,1.03583,0.89917,1.42432,0.80046,0.55924,0.65638,0.40997,1.6937,1.65639,2.02231,0.009076,0.009076,0.009076
30,5728.91,1.03957,0.90557,1.42881,0.70451,0.6255,0.67075,0.39919,1.71635,1.62858,2.091,0.009043,0.009043,0.009043
31,5915.09,1.01859,0.88795,1.42152,0.75192,0.58384,0.65774,0.39627,1.69202,1.6049,2.09074,0.00901,0.00901,0.00901
32,6101.28,1.01623,0.87629,1.416,0.72601,0.59892,0.61457,0.39008,1.64836,1.6461,2.05785,0.008977,0.008977,0.008977
