epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.805,1.50896,2.84957,1.90349,0.33713,0.31803,0.21058,0.11265,2.06607,2.83636,2.49534,0.000277093,0.000277093,0.000277093
2,388.134,1.56299,2.473,1.91712,0.4073,0.20134,0.19676,0.09204,2.1175,3.01263,2.53455,0.000549268,0.000549268,0.000549268
3,577.499,1.53937,2.42354,1.90071,0.36338,0.28097,0.28402,0.13325,1.97959,2.84149,2.37221,0.000815944,0.000815944,0.000815944
4,766.966,1.50299,2.28577,1.85115,0.30393,0.38836,0.35527,0.18599,1.93729,2.61499,2.32304,0.00080826,0.00080826,0.00080826
5,956.233,1.4308,2.1036,1.7943,0.73129,0.23088,0.31143,0.17731,1.97989,2.66216,2.36751,0.000800013,0.000800013,0.000800013
6,1145.14,1.41668,2.03773,1.77647,0.56786,0.36799,0.43222,0.21806,1.90442,2.26947,2.26331,0.000791767,0.000791767,0.000791767
7,1334.11,1.36673,1.85834,1.73965,0.44382,0.45963,0.45876,0.25958,1.75053,2.26412,2.13063,0.00078352,0.00078352,0.00078352
8,1523.41,1.32659,1.77454,1.71087,0.49123,0.46638,0.45716,0.25052,1.77213,2.06446,2.121,0.000775273,0.000775273,0.000775273
9,1712.73,1.30347,1.70697,1.70036,0.40788,0.43749,0.45655,0.25285,1.83442,2.13179,2.21855,0.000767026,0.000767026,0.000767026
10,1901.62,1.29659,1.61018,1.6754,0.50518,0.53806,0.50541,0.2936,1.76049,2.0372,2.12076,0.00075878,0.00075878,0.00075878
11,2091.49,1.27865,1.5371,1.64352,0.54338,0.48238,0.46785,0.27207,1.80148,1.97024,2.18633,0.000750533,0.000750533,0.000750533
12,2281.18,1.23675,1.4875,1.62481,0.59119,0.56166,0.56734,0.34033,1.67097,1.84642,2.04065,0.000742286,0.000742286,0.000742286
13,2469.83,1.24419,1.46425,1.6218,0.70868,0.52046,0.55882,0.32995,1.6793,1.95877,2.037,0.00073404,0.00073404,0.00073404
14,2658.33,1.23421,1.40433,1.60931,0.61414,0.47465,0.53371,0.30968,1.74249,1.84893,2.08829,0.000725793,0.000725793,0.000725793
15,2847.45,1.19552,1.32507,1.59441,0.60299,0.51068,0.55041,0.32903,1.72393,1.88244,2.07272,0.000717546,0.000717546,0.000717546
16,3045.85,1.17984,1.2661,1.5764,0.54716,0.56131,0.54323,0.29031,1.74833,1.97721,2.12515,0.000709299,0.000709299,0.000709299
17,3242.58,1.16573,1.22904,1.56757,0.72209,0.51634,0.60812,0.36426,1.63835,1.78904,1.97082,0.000701053,0.000701053,0.000701053
18,5580.43,1.1391,1.20465,1.54521,0.64252,0.55925,0.59939,0.35297,1.68277,1.76282,2.03127,0.000692806,0.000692806,0.000692806
19,5786.4,1.14767,1.18333,1.54253,0.8355,0.53164,0.62948,0.37925,1.62641,1.75911,1.97054,0.000684559,0.000684559,0.000684559
