epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1263,1.76295,3.49287,1.78047,0.17101,0.30657,0.20003,0.10952,1.67534,2.7804,1.86029,0.000275778,0.000275778,0.000275778
2,28.2106,1.69133,2.79861,1.69469,0.31485,0.3314,0.23188,0.11325,1.79923,3.33342,2.01646,0.000547965,0.000547965,0.000547965
3,40.2642,1.74557,2.62634,1.72204,0.41915,0.31316,0.32921,0.15311,1.95129,3.52543,2.14681,0.000814655,0.000814655,0.000814655
4,52.0036,1.71276,2.54698,1.69551,0.53804,0.30982,0.392,0.19017,1.86992,2.73447,2.11742,0.00080826,0.00080826,0.00080826
5,63.6895,1.66839,2.41409,1.68672,0.2888,0.42069,0.31282,0.16478,1.82782,2.57673,1.94478,0.000800013,0.000800013,0.000800013
6,75.1782,1.66096,2.27235,1.65566,0.65342,0.40991,0.46302,0.22641,1.75731,2.20941,1.88544,0.000791767,0.000791767,0.000791767
7,86.6191,1.62708,2.23245,1.62414,0.49645,0.46598,0.43174,0.24335,1.73018,2.12518,1.88726,0.00078352,0.00078352,0.00078352
8,98.0874,1.6199,2.15366,1.62483,0.57589,0.41013,0.44814,0.26002,1.71907,2.31841,1.88976,0.000775273,0.000775273,0.000775273
9,109.713,1.6062,2.03463,1.60393,0.52913,0.49439,0.45186,0.26267,1.67637,2.12921,1.85103,0.000767026,0.000767026,0.000767026
10,121.118,1.60488,1.99623,1.61182,0.57198,0.47929,0.4404,0.2391,1.75272,2.15801,1.91826,0.00075878,0.00075878,0.00075878
11,132.641,1.58551,1.8817,1.58599,0.622,0.46479,0.51441,0.27528,1.77621,1.94821,1.89892,0.000750533,0.000750533,0.000750533
12,144.106,1.54854,1.80971,1.55892,0.63526,0.53657,0.55077,0.28818,1.74229,1.96052,1.87604,0.000742286,0.000742286,0.000742286
13,155.545,1.55856,1.86775,1.60011,0.53732,0.4614,0.49503,0.26954,1.75419,1.91175,1.9318,0.00073404,0.00073404,0.00073404
14,167.141,1.51359,1.7404,1.54474,0.60384,0.53199,0.54832,0.31582,1.7075,1.84519,1.84065,0.000725793,0.000725793,0.000725793
15,179.05,1.54439,1.68308,1.55738,0.66336,0.46921,0.52965,0.30196,1.6963,1.95283,1.84699,0.000717546,0.000717546,0.000717546
16,190.844,1.53532,1.70805,1.5536,0.68252,0.52056,0.56156,0.32359,1.64368,1.75579,1.78214,0.000709299,0.000709299,0.000709299
17,203.014,1.49774,1.61386,1.54316,0.63408,0.5607,0.60165,0.34542,1.67415,1.65478,1.82797,0.000701053,0.000701053,0.000701053
18,215.267,1.53472,1.59567,1.53952,0.66048,0.61885,0.63914,0.36774,1.68502,1.73972,1.83687,0.000692806,0.000692806,0.000692806
19,227.055,1.47063,1.57204,1.52846,0.63022,0.54304,0.58479,0.36279,1.62059,1.66754,1.77049,0.000684559,0.000684559,0.000684559
20,238.61,1.48198,1.54563,1.53126,0.65765,0.55313,0.59026,0.31879,1.69656,1.70364,1.82795,0.000676313,0.000676313,0.000676313
21,250.125,1.46096,1.47618,1.49736,0.69925,0.56356,0.62458,0.37815,1.63119,1.6239,1.7824,0.000668066,0.000668066,0.000668066
22,262.134,1.46864,1.47477,1.49989,0.76587,0.55404,0.63193,0.38576,1.61322,1.65334,1.76979,0.000659819,0.000659819,0.000659819
23,273.872,1.46231,1.47241,1.51525,0.72359,0.52322,0.6003,0.34534,1.68042,1.78355,1.83279,0.000651573,0.000651573,0.000651573
24,285.721,1.47121,1.41815,1.50501,0.74842,0.54522,0.60552,0.35973,1.60885,1.64605,1.77323,0.000643326,0.000643326,0.000643326
25,297.489,1.46616,1.36899,1.47145,0.6134,0.52762,0.57242,0.33958,1.61949,1.71678,1.81694,0.000635079,0.000635079,0.000635079
26,308.778,1.40927,1.35715,1.46329,0.61867,0.55449,0.56315,0.34646,1.62118,1.63169,1.78169,0.000626832,0.000626832,0.000626832
27,320.993,1.43872,1.35633,1.46872,0.7249,0.54158,0.58704,0.35112,1.66564,1.73015,1.79755,0.000618586,0.000618586,0.000618586
28,332.763,1.38358,1.31411,1.44923,0.71518,0.61679,0.63344,0.38768,1.61763,1.60743,1.77782,0.000610339,0.000610339,0.000610339
29,344.825,1.37935,1.25939,1.45511,0.67759,0.53605,0.5948,0.36993,1.62713,1.71756,1.75657,0.000602092,0.000602092,0.000602092
30,358.274,1.38415,1.25601,1.44387,0.75237,0.515,0.57802,0.3565,1.6817,1.68779,1.86207,0.000593846,0.000593846,0.000593846
31,370.872,1.38569,1.2594,1.44056,0.8045,0.57687,0.63839,0.3877,1.6041,1.53832,1.74761,0.000585599,0.000585599,0.000585599
32,383.28,1.37712,1.25445,1.44647,0.7527,0.59202,0.63201,0.39039,1.57762,1.53765,1.74596,0.000577352,0.000577352,0.000577352
33,395.246,1.38395,1.17829,1.42662,0.78014,0.60413,0.6434,0.37908,1.63008,1.56779,1.77539,0.000569106,0.000569106,0.000569106
34,407,1.37059,1.20458,1.43004,0.76439,0.5665,0.63281,0.38969,1.62228,1.52428,1.7752,0.000560859,0.000560859,0.000560859
35,418.657,1.36204,1.19571,1.42226,0.8312,0.58894,0.63983,0.40172,1.57121,1.60083,1.75284,0.000552612,0.000552612,0.000552612
36,430.449,1.35728,1.1466,1.41982,0.78877,0.54705,0.63201,0.37336,1.63604,1.50873,1.78087,0.000544365,0.000544365,0.000544365
37,442.459,1.33095,1.16454,1.41648,0.75467,0.56732,0.63464,0.38734,1.61016,1.60372,1.77241,0.000536119,0.000536119,0.000536119
38,455.372,1.34608,1.18552,1.4143,0.71894,0.55677,0.62967,0.40155,1.57144,1.51489,1.75557,0.000527872,0.000527872,0.000527872
39,467.673,1.29332,1.0972,1.39019,0.66109,0.65042,0.65973,0.42009,1.54822,1.46437,1.74377,0.000519625,0.000519625,0.000519625
40,479.544,1.34019,1.13406,1.38996,0.8001,0.57577,0.63614,0.38887,1.55178,1.54743,1.74924,0.000511379,0.000511379,0.000511379
41,491.418,1.28998,1.07787,1.38607,0.72605,0.57135,0.60381,0.3673,1.56303,1.63332,1.73804,0.000503132,0.000503132,0.000503132
42,503.327,1.3017,1.08423,1.37399,0.72499,0.59682,0.62661,0.38314,1.57027,1.61693,1.73247,0.000494885,0.000494885,0.000494885
43,515.441,1.32012,1.08881,1.39824,0.70985,0.59548,0.63183,0.37597,1.59508,1.55281,1.76138,0.000486639,0.000486639,0.000486639
44,527.112,1.29366,1.05229,1.37347,0.81935,0.59377,0.65397,0.40122,1.59536,1.51683,1.75917,0.000478392,0.000478392,0.000478392
45,538.6,1.26907,1.03928,1.3661,0.83382,0.5489,0.64908,0.4032,1.5931,1.55872,1.74902,0.000470145,0.000470145,0.000470145
46,550.087,1.28631,1.03982,1.37594,0.77168,0.62675,0.68475,0.42318,1.57714,1.39371,1.73346,0.000461898,0.000461898,0.000461898
47,561.91,1.27526,1.04238,1.36496,0.77369,0.60439,0.67139,0.42518,1.55053,1.51685,1.7008,0.000453652,0.000453652,0.000453652
48,574.276,1.25198,1.01288,1.35291,0.75367,0.61694,0.66091,0.39945,1.57459,1.51369,1.75279,0.000445405,0.000445405,0.000445405
49,586.85,1.22098,1.00491,1.34873,0.80846,0.57581,0.63863,0.40398,1.55103,1.52901,1.74799,0.000437158,0.000437158,0.000437158
50,598.735,1.26789,0.9927,1.346,0.80318,0.58474,0.66005,0.40684,1.57807,1.58468,1.7391,0.000428912,0.000428912,0.000428912
51,610.723,1.19858,0.98294,1.33239,0.76209,0.57445,0.62491,0.39092,1.60297,1.58216,1.77085,0.000420665,0.000420665,0.000420665
52,622.274,1.22421,0.95852,1.33098,0.82101,0.62158,0.69105,0.42914,1.56979,1.49133,1.72776,0.000412418,0.000412418,0.000412418
53,633.661,1.20775,0.96176,1.33863,0.77212,0.55635,0.64594,0.40167,1.54415,1.56727,1.75677,0.000404172,0.000404172,0.000404172
54,645.182,1.19185,0.9572,1.33061,0.7269,0.55285,0.61564,0.39656,1.57868,1.57168,1.77096,0.000395925,0.000395925,0.000395925
55,656.892,1.1991,0.96634,1.32746,0.8225,0.5588,0.66098,0.40754,1.58037,1.39488,1.77104,0.000387678,0.000387678,0.000387678
56,668.504,1.18811,0.9482,1.32387,0.76508,0.6231,0.65637,0.38883,1.59055,1.42892,1.79244,0.000379431,0.000379431,0.000379431
57,680.386,1.15973,0.91793,1.30794,0.82991,0.61992,0.67804,0.41815,1.58478,1.41678,1.74593,0.000371185,0.000371185,0.000371185
58,692.476,1.19034,0.90294,1.31369,0.76126,0.63181,0.66813,0.41923,1.54204,1.46093,1.73412,0.000362938,0.000362938,0.000362938
59,704.342,1.1771,0.89546,1.3009,0.70696,0.58562,0.65549,0.40318,1.59211,1.51317,1.76987,0.000354691,0.000354691,0.000354691
60,715.742,1.15947,0.88483,1.29145,0.8521,0.59968,0.66123,0.40831,1.57279,1.38363,1.7741,0.000346445,0.000346445,0.000346445
61,727.188,1.17479,0.90227,1.28482,0.71498,0.64063,0.67102,0.4088,1.58428,1.41383,1.77178,0.000338198,0.000338198,0.000338198
62,739.086,1.16213,0.89934,1.28797,0.84245,0.5769,0.66822,0.41415,1.56317,1.44102,1.76814,0.000329951,0.000329951,0.000329951
63,750.888,1.14703,0.89799,1.28708,0.80796,0.62804,0.69539,0.42566,1.58161,1.34611,1.78271,0.000321705,0.000321705,0.000321705
64,762.521,1.13974,0.87552,1.28257,0.77505,0.64456,0.66187,0.40967,1.6098,1.44402,1.80989,0.000313458,0.000313458,0.000313458
65,773.836,1.10596,0.83117,1.26883,0.81431,0.62187,0.66613,0.40978,1.60768,1.49628,1.78078,0.000305211,0.000305211,0.000305211
66,785.239,1.17327,0.87353,1.28173,0.82352,0.61331,0.68359,0.41931,1.59483,1.4082,1.79192,0.000296964,0.000296964,0.000296964
67,796.749,1.11682,0.83539,1.26297,0.77167,0.65889,0.68903,0.4278,1.63821,1.37375,1.79083,0.000288718,0.000288718,0.000288718
68,808.194,1.13035,0.83253,1.26837,0.81557,0.57527,0.68369,0.42809,1.59714,1.43715,1.77393,0.000280471,0.000280471,0.000280471
69,819.543,1.10257,0.82608,1.25448,0.82266,0.63926,0.71562,0.43763,1.598,1.31438,1.76586,0.000272224,0.000272224,0.000272224
70,830.954,1.10142,0.83046,1.26696,0.7617,0.6173,0.67608,0.41204,1.63056,1.37678,1.78087,0.000263978,0.000263978,0.000263978
71,842.327,1.06658,0.80356,1.24,0.80587,0.5944,0.68097,0.42472,1.55994,1.38355,1.76202,0.000255731,0.000255731,0.000255731
72,853.623,1.08249,0.79777,1.25142,0.83635,0.5845,0.68477,0.41755,1.60001,1.36633,1.78387,0.000247484,0.000247484,0.000247484
73,865.418,1.10216,0.8075,1.24936,0.891,0.60801,0.69422,0.4139,1.61807,1.43931,1.7982,0.000239238,0.000239238,0.000239238
74,877.34,1.07429,0.79133,1.2414,0.83552,0.60441,0.67393,0.41693,1.59886,1.37349,1.80018,0.000230991,0.000230991,0.000230991
75,889.127,1.0412,0.76905,1.2334,0.80871,0.63465,0.67725,0.4091,1.6249,1.45281,1.79606,0.000222744,0.000222744,0.000222744
76,901.046,1.07348,0.78458,1.228,0.84592,0.635,0.69092,0.42001,1.63615,1.46921,1.82203,0.000214497,0.000214497,0.000214497
77,913.079,1.04732,0.76837,1.23058,0.83369,0.64956,0.68712,0.43017,1.56779,1.45163,1.7945,0.000206251,0.000206251,0.000206251
78,924.709,1.07391,0.7605,1.21897,0.81772,0.66048,0.67937,0.42502,1.56324,1.41483,1.79623,0.000198004,0.000198004,0.000198004
79,936.38,1.04031,0.75704,1.23107,0.81405,0.63282,0.67916,0.43423,1.58113,1.41404,1.79051,0.000189757,0.000189757,0.000189757
80,948.116,1.03497,0.75585,1.20741,0.79308,0.64952,0.68005,0.41501,1.60954,1.40239,1.80245,0.000181511,0.000181511,0.000181511
81,959.799,1.05005,0.7646,1.21685,0.85454,0.61123,0.67245,0.4057,1.61905,1.44326,1.84074,0.000173264,0.000173264,0.000173264
82,971.758,1.05378,0.75394,1.21538,0.79213,0.63589,0.69163,0.41632,1.61506,1.39299,1.84406,0.000165017,0.000165017,0.000165017
83,983.615,1.02141,0.75413,1.20845,0.80204,0.62293,0.68218,0.41547,1.59678,1.3967,1.82275,0.000156771,0.000156771,0.000156771
84,995.714,1.02376,0.74148,1.2064,0.8007,0.62485,0.6789,0.41132,1.61957,1.41043,1.81942,0.000148524,0.000148524,0.000148524
85,1007.65,1.00947,0.73536,1.19824,0.76093,0.61516,0.686,0.41858,1.61588,1.43868,1.80883,0.000140277,0.000140277,0.000140277
86,1019.95,1.01708,0.73989,1.213,0.86879,0.5892,0.69124,0.43409,1.59137,1.45853,1.80808,0.000132031,0.000132031,0.000132031
87,1031.93,1.02619,0.7363,1.19662,0.78147,0.63296,0.70436,0.42734,1.6138,1.45123,1.81875,0.000123784,0.000123784,0.000123784
88,1043.99,0.99626,0.72596,1.19862,0.77779,0.62878,0.68698,0.41479,1.61601,1.5011,1.82484,0.000115537,0.000115537,0.000115537
89,1055.9,1.02936,0.73142,1.20621,0.74875,0.63599,0.68314,0.42178,1.60056,1.45573,1.80932,0.00010729,0.00010729,0.00010729
90,1067.75,1.00438,0.73523,1.19275,0.77924,0.68107,0.7056,0.42222,1.60674,1.43755,1.80081,9.90437e-05,9.90437e-05,9.90437e-05
91,1155.05,0.89251,0.56899,1.16063,0.86017,0.5746,0.65618,0.40237,1.59801,1.42866,1.82078,9.0797e-05,9.0797e-05,9.0797e-05
92,1170.96,0.86959,0.51334,1.13998,0.84197,0.5664,0.65167,0.38947,1.59701,1.44866,1.83391,8.25503e-05,8.25503e-05,8.25503e-05
93,1194.76,0.86282,0.51188,1.13247,0.8204,0.60032,0.65603,0.39463,1.57759,1.43646,1.81599,7.43036e-05,7.43036e-05,7.43036e-05
94,1208.36,0.84647,0.50058,1.13293,0.84098,0.59713,0.66903,0.41937,1.56896,1.44864,1.8105,6.60569e-05,6.60569e-05,6.60569e-05
95,1219.87,0.8421,0.50463,1.13309,0.77874,0.62362,0.66975,0.41715,1.57577,1.47511,1.80587,5.78102e-05,5.78102e-05,5.78102e-05
96,1231.34,0.84465,0.50019,1.12275,0.78012,0.63918,0.67585,0.41137,1.56266,1.41912,1.80279,4.95635e-05,4.95635e-05,4.95635e-05
97,1242.65,0.8249,0.4909,1.115,0.8243,0.6036,0.67016,0.41252,1.5663,1.42937,1.80069,4.13168e-05,4.13168e-05,4.13168e-05
98,1253.96,0.80617,0.48366,1.1049,0.78264,0.62975,0.67727,0.419,1.5739,1.39153,1.81725,3.30701e-05,3.30701e-05,3.30701e-05
99,1266.12,0.81607,0.48364,1.10948,0.84559,0.60159,0.6647,0.41285,1.55677,1.40094,1.79475,2.48234e-05,2.48234e-05,2.48234e-05
100,1277.97,0.815,0.47559,1.1088,0.73488,0.65154,0.66974,0.41234,1.55854,1.37985,1.78473,1.65767e-05,1.65767e-05,1.65767e-05
