epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.101,0.82486,2.15023,1.17719,0.69105,0.67532,0.72383,0.56745,0.80634,1.35897,1.19159,0.000256123,0.000256123,0.000256123
2,415.158,0.73139,1.32121,1.11018,0.79216,0.71681,0.8112,0.65295,0.78211,1.10713,1.16851,0.000487089,0.000487089,0.000487089
3,631.906,0.71713,1.16303,1.09875,0.76155,0.68772,0.76541,0.6146,0.80571,1.11827,1.19001,0.000692679,0.000692679,0.000692679
4,837.798,0.68598,1.04921,1.08138,0.80235,0.74424,0.84367,0.68262,0.78081,0.98601,1.14886,0.000654804,0.000654804,0.000654804
5,1043.45,0.66028,0.95743,1.06696,0.85254,0.76824,0.87042,0.71696,0.72636,0.82312,1.10819,0.000616738,0.000616738,0.000616738
6,1251.08,0.63959,0.89957,1.05729,0.84632,0.79614,0.88764,0.73279,0.7299,0.76907,1.12422,0.000578672,0.000578672,0.000578672
7,1406.47,0.61117,0.8399,1.04144,0.84609,0.80688,0.89025,0.75055,0.68642,0.73932,1.08009,0.000540607,0.000540607,0.000540607
8,1581.9,0.60081,0.79927,1.03544,0.86793,0.76908,0.88103,0.7372,0.70637,0.79854,1.10788,0.000502541,0.000502541,0.000502541
9,1681.22,0.58913,0.76976,1.02756,0.84717,0.8189,0.90169,0.76033,0.66456,0.69215,1.0638,0.000464476,0.000464476,0.000464476
10,1847.03,0.57448,0.72387,1.02045,0.87597,0.81697,0.90713,0.76956,0.65296,0.65928,1.04668,0.000426411,0.000426411,0.000426411
11,1970.77,0.45791,0.57859,0.95324,0.86998,0.81924,0.90701,0.7722,0.64422,0.66447,1.04326,0.000388345,0.000388345,0.000388345
12,2065.64,0.44912,0.53138,0.9452,0.88079,0.82378,0.91313,0.79119,0.62038,0.64011,1.02436,0.00035028,0.00035028,0.00035028
13,2158.78,0.4382,0.49834,0.94027,0.88309,0.83601,0.92061,0.79215,0.62249,0.61038,1.03166,0.000312214,0.000312214,0.000312214
14,2287.93,0.42564,0.46934,0.93015,0.88283,0.82391,0.91398,0.79276,0.60103,0.62126,1.01057,0.000274148,0.000274148,0.000274148
15,2383.09,0.4155,0.44907,0.92596,0.89168,0.84454,0.92931,0.81001,0.58519,0.55764,1.0046,0.000236083,0.000236083,0.000236083
16,2508.68,0.40517,0.42163,0.92037,0.89201,0.83704,0.92587,0.80858,0.58686,0.55635,1.00185,0.000198018,0.000198018,0.000198018
17,2601.77,0.39538,0.39606,0.91457,0.88644,0.84392,0.92458,0.81113,0.57782,0.54429,0.9964,0.000159952,0.000159952,0.000159952
18,2698.31,0.38928,0.38045,0.91088,0.88501,0.8527,0.92815,0.81862,0.5682,0.54255,0.98683,0.000121887,0.000121887,0.000121887
19,2794.21,0.37844,0.35907,0.90644,0.9054,0.84511,0.92838,0.81765,0.56936,0.52889,0.98877,8.3821e-05,8.3821e-05,8.3821e-05
20,2892.14,0.36943,0.34101,0.90154,0.90016,0.85993,0.9309,0.82029,0.5615,0.52332,0.982,4.57555e-05,4.57555e-05,4.57555e-05
