epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,495.049,0.70435,1.4536,1.16502,0.72152,0.62886,0.71807,0.54404,0.98813,1.33774,1.46794,0.000256123,0.000256123,0.000256123
2,976.569,0.66986,1.09345,1.13454,0.78204,0.67441,0.75788,0.5804,1.06588,1.58207,1.75472,0.000502309,0.000502309,0.000502309
3,1455.37,0.65978,1.02704,1.12431,0.74027,0.66375,0.71091,0.54384,1.0899,1.45485,1.67137,0.000738345,0.000738345,0.000738345
4,1932.72,0.61873,0.92078,1.09666,0.80253,0.77283,0.85106,0.69094,0.7829,0.91172,1.27961,0.000723321,0.000723321,0.000723321
5,2410.49,0.58286,0.83874,1.07557,0.83321,0.76958,0.86934,0.70779,0.77923,0.81887,1.26558,0.000708095,0.000708095,0.000708095
6,2885.76,0.55723,0.78906,1.06034,0.86226,0.80285,0.89387,0.74236,0.71947,0.71783,1.20778,0.000692869,0.000692869,0.000692869
7,3362.78,0.52852,0.72879,1.04297,0.86818,0.80787,0.89791,0.75891,0.67583,0.67688,1.15482,0.000677643,0.000677643,0.000677643
8,3842.61,0.51407,0.68852,1.03334,0.81783,0.79068,0.87209,0.73211,0.70093,0.78306,1.17944,0.000662417,0.000662417,0.000662417
9,4320.95,0.50364,0.66426,1.02724,0.85991,0.8384,0.90777,0.77535,0.65772,0.62364,1.13908,0.00064719,0.00064719,0.00064719
10,4801.88,0.48646,0.62197,1.01417,0.8677,0.82409,0.91876,0.7896,0.63171,0.60822,1.10479,0.000631964,0.000631964,0.000631964
11,5285.8,0.48249,0.60728,1.00996,0.83799,0.84926,0.91754,0.78816,0.62786,0.61238,1.11095,0.000616738,0.000616738,0.000616738
12,5769.01,0.47617,0.59335,1.00721,0.8523,0.84294,0.91817,0.79609,0.60481,0.58346,1.09233,0.000601512,0.000601512,0.000601512
13,6250.77,0.47094,0.58118,1.00731,0.87833,0.82133,0.90863,0.78438,0.62901,0.65654,1.10688,0.000586286,0.000586286,0.000586286
14,6730.71,0.46018,0.55181,0.99715,0.90409,0.82337,0.92152,0.80935,0.59607,0.5832,1.08796,0.000571059,0.000571059,0.000571059
15,7214.41,0.45188,0.53439,0.9943,0.8629,0.8379,0.91824,0.79586,0.63546,0.67075,1.12998,0.000555833,0.000555833,0.000555833
16,7697.09,0.4456,0.51502,0.99149,0.90398,0.8301,0.93151,0.82002,0.5884,0.5484,1.07437,0.000540607,0.000540607,0.000540607
17,8177.12,0.43748,0.50499,0.98642,0.88802,0.85607,0.93698,0.82033,0.59987,0.53732,1.1083,0.000525381,0.000525381,0.000525381
18,8655.17,0.43545,0.49321,0.98237,0.89305,0.83772,0.93278,0.8204,0.58,0.54385,1.05658,0.000510155,0.000510155,0.000510155
19,9132.84,0.42689,0.47853,0.97925,0.90469,0.85438,0.93817,0.83053,0.5579,0.49893,1.05083,0.000494928,0.000494928,0.000494928
20,9611.76,0.4198,0.47249,0.97513,0.90532,0.86073,0.93749,0.82552,0.57171,0.50034,1.06715,0.000479702,0.000479702,0.000479702
21,10091.1,0.41479,0.45614,0.97135,0.90121,0.85919,0.94106,0.83345,0.55931,0.49827,1.03765,0.000464476,0.000464476,0.000464476
22,10608.5,0.40522,0.44168,0.96528,0.89308,0.8647,0.93444,0.83008,0.55785,0.51046,1.04114,0.00044925,0.00044925,0.00044925
23,11090.9,0.40408,0.43519,0.96835,0.87402,0.88227,0.93505,0.82951,0.56979,0.50746,1.06064,0.000434024,0.000434024,0.000434024
24,11578.9,0.40517,0.42396,0.96538,0.88019,0.88014,0.93759,0.83474,0.55247,0.48976,1.04784,0.000418797,0.000418797,0.000418797
25,12068.5,0.40077,0.42238,0.9668,0.90428,0.86579,0.94143,0.8417,0.5385,0.47923,1.02786,0.000403571,0.000403571,0.000403571
26,12557.2,0.39198,0.40613,0.95797,0.89671,0.8734,0.94205,0.84739,0.52808,0.4627,1.01997,0.000388345,0.000388345,0.000388345
27,13047.4,0.38873,0.39931,0.95628,0.89974,0.88206,0.942,0.84303,0.52575,0.47073,1.01155,0.000373119,0.000373119,0.000373119
28,13536.9,0.37981,0.38386,0.95497,0.90063,0.87966,0.94572,0.84474,0.54363,0.4624,1.04835,0.000357893,0.000357893,0.000357893
29,14026.9,0.37569,0.37932,0.95406,0.90228,0.86959,0.94093,0.84999,0.52681,0.46812,1.0301,0.000342666,0.000342666,0.000342666
30,14519.6,0.37736,0.37119,0.95091,0.90801,0.88034,0.94361,0.85573,0.51489,0.47331,1.0039,0.00032744,0.00032744,0.00032744
31,15014.1,0.37032,0.36412,0.94598,0.90071,0.89282,0.94519,0.85549,0.50765,0.45478,1.00265,0.000312214,0.000312214,0.000312214
32,15505,0.37154,0.35497,0.94346,0.91133,0.8781,0.94405,0.85715,0.51641,0.46232,1.00907,0.000296988,0.000296988,0.000296988
33,15994.3,0.36109,0.3456,0.94059,0.91186,0.87363,0.94531,0.86041,0.50896,0.45794,0.99716,0.000281762,0.000281762,0.000281762
34,16486.1,0.36588,0.34735,0.94647,0.91282,0.87385,0.9429,0.85807,0.49781,0.4571,0.99367,0.000266535,0.000266535,0.000266535
35,16977.3,0.35548,0.33828,0.94265,0.90911,0.87809,0.94138,0.85989,0.50034,0.47138,0.99921,0.000251309,0.000251309,0.000251309
36,17469.2,0.35167,0.32988,0.94022,0.90569,0.87802,0.94083,0.85721,0.50755,0.47037,1.00388,0.000236083,0.000236083,0.000236083
37,17960.7,0.35175,0.32523,0.93766,0.91522,0.8827,0.94627,0.86442,0.50369,0.45542,0.99992,0.000220857,0.000220857,0.000220857
38,18451.9,0.34629,0.31621,0.93394,0.92275,0.8707,0.94535,0.86373,0.50019,0.4606,1.00146,0.000205631,0.000205631,0.000205631
39,18941.8,0.34117,0.30806,0.9353,0.91011,0.89305,0.94775,0.86682,0.49871,0.44683,0.99856,0.000190404,0.000190404,0.000190404
40,19433.2,0.3458,0.30802,0.93556,0.91525,0.8753,0.94617,0.86587,0.49867,0.44631,0.99563,0.000175178,0.000175178,0.000175178
41,20103,0.25686,0.19908,0.86867,0.91011,0.87858,0.94639,0.86522,0.50029,0.44779,1.00499,0.000159952,0.000159952,0.000159952
42,20611.6,0.2494,0.18668,0.86595,0.90582,0.88232,0.94632,0.86724,0.49039,0.46492,0.99742,0.000144726,0.000144726,0.000144726
43,21121.4,0.2447,0.17967,0.86355,0.9118,0.87827,0.94395,0.86593,0.48775,0.46669,0.99232,0.0001295,0.0001295,0.0001295
44,21615.3,0.24275,0.17369,0.86323,0.90733,0.88664,0.94456,0.86861,0.48492,0.45447,0.99,0.000114273,0.000114273,0.000114273
45,22106.1,0.23981,0.16707,0.85979,0.9121,0.87591,0.94316,0.86882,0.48078,0.46646,0.98394,9.90472e-05,9.90472e-05,9.90472e-05
46,22596.4,0.23371,0.1621,0.8564,0.91783,0.87938,0.94643,0.87354,0.48026,0.44313,0.98608,8.3821e-05,8.3821e-05,8.3821e-05
47,23086,0.23041,0.15554,0.85419,0.92677,0.86842,0.94596,0.87178,0.47786,0.45235,0.98335,6.85948e-05,6.85948e-05,6.85948e-05
48,23575.1,0.22547,0.1507,0.85506,0.92742,0.87325,0.94415,0.87187,0.47554,0.45172,0.98103,5.33686e-05,5.33686e-05,5.33686e-05
49,24064.3,0.22223,0.14649,0.84974,0.92253,0.87675,0.94648,0.87409,0.47385,0.45157,0.98077,3.81424e-05,3.81424e-05,3.81424e-05
50,24554.2,0.22077,0.14315,0.84882,0.92933,0.88185,0.94641,0.87509,0.47174,0.45285,0.97997,2.29162e-05,2.29162e-05,2.29162e-05
