epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.433,0.89124,1.24607,1.96307,0.92313,0.47703,0.68475,0.53298,0.41957,0.46064,0.63506,0.49575,0.33807,0.60444,0.57301,1.28743,0.86701,0.000332925,0.000332925,0.000332925
2,343.964,0.7501,0.93702,1.38974,0.88365,0.62277,0.67133,0.65773,0.5165,0.6064,0.60753,0.60231,0.39588,0.6712,0.58239,1.02636,0.8556,0.000633278,0.000633278,0.000633278
3,468.99,0.71575,0.88731,1.23856,0.8745,0.68241,0.71896,0.71879,0.57313,0.65836,0.66626,0.66701,0.44032,0.5695,0.54515,0.93873,0.8121,0.000900632,0.000900632,0.000900632
4,610.63,0.68578,0.84958,1.14636,0.87029,0.72334,0.73238,0.78107,0.6469,0.69689,0.66956,0.71854,0.49826,0.5154,0.48212,0.79485,0.80401,0.0008515,0.0008515,0.0008515
5,768.835,0.66632,0.82253,1.08408,0.86885,0.77736,0.7568,0.80984,0.66203,0.72913,0.68001,0.71786,0.4526,0.54812,0.55296,0.75282,0.79296,0.000802,0.000802,0.000802
6,932.512,0.64639,0.80903,1.0169,0.86306,0.77119,0.76117,0.82035,0.6934,0.74215,0.70866,0.76473,0.53056,0.47875,0.48101,0.70414,0.80913,0.0007525,0.0007525,0.0007525
7,1048.14,0.63248,0.7943,0.9802,0.86118,0.81578,0.74099,0.82302,0.68357,0.77557,0.68221,0.75045,0.48728,0.52793,0.51797,0.70757,0.79141,0.000703,0.000703,0.000703
8,1162.38,0.61618,0.77539,0.95252,0.85998,0.77028,0.77771,0.83684,0.69167,0.72864,0.70489,0.76189,0.49276,0.51707,0.52436,0.7049,0.7922,0.0006535,0.0006535,0.0006535
9,1276.94,0.60431,0.76915,0.91441,0.85762,0.81801,0.78726,0.85173,0.71265,0.78429,0.72284,0.78615,0.52619,0.52011,0.48738,0.62983,0.79278,0.000604,0.000604,0.000604
10,1462.07,0.59338,0.76012,0.88744,0.85507,0.80665,0.80222,0.85054,0.72218,0.75903,0.73414,0.78193,0.55081,0.45839,0.45053,0.63527,0.78347,0.0005545,0.0005545,0.0005545
11,1592.28,0.54636,0.75132,0.78168,0.82024,0.83409,0.79825,0.86063,0.71857,0.78425,0.71637,0.77249,0.51288,0.48133,0.50526,0.60889,0.77431,0.000505,0.000505,0.000505
12,1701.93,0.52988,0.73557,0.73175,0.81881,0.83762,0.82356,0.87788,0.72251,0.77788,0.74942,0.80104,0.51838,0.49747,0.512,0.57975,0.78634,0.0004555,0.0004555,0.0004555
13,1814.22,0.5177,0.7221,0.70148,0.81489,0.82312,0.79478,0.85863,0.76044,0.79984,0.73881,0.80419,0.59655,0.42093,0.4358,0.59631,0.7613,0.000406,0.000406,0.000406
14,1956.77,0.51717,0.71605,0.65834,0.81445,0.86252,0.80836,0.87413,0.72621,0.81719,0.71695,0.78645,0.49495,0.49068,0.5291,0.54847,0.76288,0.0003565,0.0003565,0.0003565
15,2069.52,0.50529,0.71348,0.63396,0.81416,0.87487,0.82168,0.88806,0.749,0.81301,0.75257,0.81258,0.53289,0.47951,0.49942,0.53286,0.75448,0.000307,0.000307,0.000307
16,2178.78,0.49448,0.69911,0.61919,0.81119,0.87246,0.82721,0.88991,0.77279,0.82346,0.75114,0.81718,0.55298,0.40347,0.49482,0.50901,0.73922,0.0002575,0.0002575,0.0002575
17,2290.31,0.48369,0.69216,0.57754,0.80944,0.87489,0.8423,0.89621,0.77173,0.81333,0.77002,0.82187,0.55654,0.40333,0.4972,0.49655,0.73806,0.000208,0.000208,0.000208
18,2513.66,0.4749,0.68968,0.56031,0.80976,0.88026,0.83211,0.89483,0.77576,0.84019,0.74757,0.819,0.57337,0.40068,0.48207,0.49623,0.73788,0.0001585,0.0001585,0.0001585
19,2625.9,0.46831,0.68198,0.55172,0.80868,0.88748,0.84059,0.89791,0.78548,0.84665,0.75178,0.82053,0.559,0.39521,0.48582,0.47203,0.73297,0.000109,0.000109,0.000109
20,2736.79,0.4598,0.67489,0.52693,0.80702,0.88471,0.84249,0.899,0.78127,0.83914,0.75969,0.82231,0.55844,0.397,0.48671,0.47621,0.73316,5.95e-05,5.95e-05,5.95e-05
